position,company,location,salary,summary
Entry Level Estimating & Pricing Specialist,BOEING,"Seal Beach, CA 90740",,Skilled scientists and thinkers. At least one (1) year experience performing data analysis and/or reporting....
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"Irvine, CA",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
"Associate, Data Scientist",KPMG,"Irvine, CA 92618",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Smart Beta Quantitative Research Analyst,Pacific Investment Management Company LLC,"Newport Beach, CA 92660",,"The Smart Beta Quantitative Research Analyst will be involved in smart enhancements to a variety of fixed income indices using interest rates, currencies,..."
Data Engineer,Classy,"Los Angeles, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Sr. Data Analyst/Statistical Models (Part-time - TSP3),Edison International,"Pomona, CA",,"Responsible for T&D's analytics, data interpretation, data extraction and modeling. Acts as a subject matter expert (SME) to analysts about data sources,..."
"Technologist, Data Science Engineer - Manufacturing Processes",Western Digital,"Irvine, CA 92612",,"We are looking for a savvy Data Engineer to be part of a data science and cross-functional team that typically include data scientists, engineers, software..."
Data Scientist Senior,EXPERIAN,"Costa Mesa, CA",,"Experience analyzing large data set in order to draw conclusions about data integrity, accuracy, and general relationships...."
Researcher,Riot Games,"Los Angeles, CA",,"As a Researcher, you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving problems and..."
Data Scientist,Exsilio,"Irvine, CA 92614",,"The mission of the Data Scientist is to deliver data science solutions, work with their stakeholder to drive business value and contribute to the Data Science..."
Data Scientist,Western Digital,"Irvine, CA 92612",,Keep current with and act as primary point of contact for the group in regards to all matters related to data analysis and modeling....
Sr Data Scientist,Pacific Life,"Newport Beach, CA",,"Currently, we are seeking a talented Data Scientist to join the Retirement Solutions Division based in Newport Beach, California...."
Data Scientist,Ocean Media,"Huntington Beach, CA 92647",,The Data Scientist will demonstrate:. Strong attention to detail with the ability to scrutinize large data sets for data integrity and effectively identify and...
Formulation Scientist,Solvay,"Anaheim, CA",,Design of experiments and use statistical tools to analyze data. This is an exceptional opportunity to work within our highly valued Composite Materials Global...
"Sr. Data Scientist, Global Insights - NLP",Blizzard Entertainment,"Irvine, CA",,Experience with data visualization tools like Tableau. Our Global Insights team is seeking a senior data scientist specializing in natural language processing...
Administrative Assistant/Receptionist,HDR,"Irvine, CA 92602",,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
Data Analysis Specialist,Telecare Corporation,"Long Beach, CA",,"Verifies accuracy of data. Oversees that data is collected accurately and on time. The Data Analyst is responsible for coordinating all Caminar, Avatar and EHR..."
Market Research Analyst,K. Hovnanian Companies,"Irvine, CA",,"Process, analyze data and prepare visitor data to create geographical maps. Process, analyze data and prepare buyer demographics reports and maps...."
Value Chain Planning IT Business Analyst,Beckman Coulter - Diagnostics,"Brea, CA",,"Capable of performing tasks related to Requirements Analysis, Design, Data Mapping, Data Conversions, Testing and Test Script creation, Configuration,..."
Sr. Quantitative Risk Analyst - Santa Ana,Banc of California,"Santa Ana, CA",,"Interprets data and reports findings accordingly. Proficiency in handling and analyzing large data sets. Intermediate Excel modeling skills, including ability..."
Research Assistant,Western University of Health Sciences,"Pomona, CA",,"Generate, record and report raw data. These responsibilities may include but are not limited to sample preparation, dose verification, study system dosing,..."
Sr. Data Analyst/Statistical Models,Southern California Edison,"Pomona, CA",,"Responsible for T&D's analytics, data interpretation, data extraction and modeling. Acts as a subject matter expert (SME) to analysts about data sources,..."
Dx Scientist,DiaSorin,"Cypress, CA",,Interacts with R&D scientist to facilitate technology transfer into Diagnostics. Interprets scientific data and makes independent decisions on the accuracy and...
"Junior Data Analyst (R, Excel, SQL)",Jobspring Partners,"Irvine, CA","$60,000 - $80,000 a year",A reinsurance company that leverages technology and deep analysis to deliver their products is looking to bring on a Data Analyst/Scientist....
Data Sciences Manager,Capital Group,"Irvine, CA 92618",,"Proven experience performing data science tasks including, data exploration, data management, data transformation, modeling and development activities, and..."
Quantitative Analyst I,Bank of Hope,"Los Angeles, CA",,"Data transformation (if needed) and interactive variables. An ability to analyze and interpret large data sets, identify insights, and synthesize how these..."
Research Analyst,BGC Partners,"Los Angeles, CA",,"Overseeing data collection, data input/verification, and review. For addressing issues of data quality and will maintain a policy of data...."
"Quantitative Research Analyst, VP",Pacific Investment Management Company LLC,"Newport Beach, CA 92660",,The function is that of a desk quant supporting the specialist portfolio managers for commodity products. PIMCO’s commodity desk trades listed and OTC...
Business Analyst - Operation Research,"Sunwest Mortgage Company, Inc.","Cerritos, CA 90703",,"Review, design, and analyze software and business needs and assist in software development, implementation, database review, and business analysis for problems..."
Research Associate I,CEDARS-SINAI,"Los Angeles, CA",,"Participation in laboratory meetings, keeping laboratory notebooks, performing calculations, tabulating data, summarizing methods and results of related..."
Sr. Assoc Machine Learning Modeler / Data Scientist,ZestFinance,"Los Angeles, CA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
Research Scientist,Western University of Health Sciences,"Pomona, CA",,"Make solutions and use microscopes, biochemical and molecular techniques, a variety of pumps, detectors, software, and visual observation to record data...."
Hospital Lab Technician II - Blood Bank - P/T - Variable,UC Irvine Health,"Orange, CA 92868",$24.22 - $30.11 an hour,"Clinical Lab Scientist - Spvr. Assists in equipment maintenance, quality control, allocation/ issuing products such as blood/blood components and tissue for..."
Research Analyst,Mount St. Mary's College,"Los Angeles, CA 90007",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
"Manager, Hearthstone Analytics",Blizzard Entertainment,"Irvine, CA",,"Your team will be multidisciplinary and includes business & gameplay insights analysts, dashboard developers, data scientists, data engineers, and program..."
Sr Data Scientist,tronc,"Los Angeles, CA",,"We are looking for a data scientist to join the data science and engineering team at tronc, Inc. As a senior data scientist at tronc you will have the chance to..."
Senior NLP Data Scientist,Capital Group,"Los Angeles, CA 90071",,"Based in Irvine or Los Angeles, as a Senior Data Scientist, you will be experienced with and passionate about using data to drive business strategy, tactical..."
Model Risk Quantitative Analyst,MUFG,"Los Angeles, CA",,"And data analytics using Excel, VBA, SQL, and Bloomberg Excel API. And programming with statistical programming language “R” and performing data analytics using..."
Data Scientist,Pray,"Los Angeles, CA",,We’re looking for a Data Scientist to join the Pray app. Fluency in SQL or other big data querying languages....
